ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID,person,car,bus,truck,boat,motorcycle,traffic light,fire hydrant,bicycle,cup,bench,dining table,stop sign,knife,spoon,bowl,dog,fork,wine glass
178,2.800651911,-74.0098147,40.73756067,170,1.0,21.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,4.755593471,-74.00993964,40.73588879,171,4.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,4.366624412,-74.0099977,40.73518149,172,4.0,10.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,4.89600026,-74.0101119,40.7337564,173,0.0,23.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,5.57034312,-74.01017944,40.7329919,174,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,4.462424861,-74.01035106,40.73115021,175,3.0,15.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,6.987000945,-74.01041578,40.73040713,176,3.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
192,10.8755617,-74.0112471,40.72420115,177,5.0,25.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,11.92654863,-74.01137318,40.72355149,178,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,11.49115339,-74.01151186,40.72289197,179,0.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,9.331002365,-74.01164673,40.72220926,180,1.0,10.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
196,11.37039704,-74.01177403,40.72146712,182,3.0,11.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,14.91885098,-74.01276839,40.71697204,183,5.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,15.85213326,-74.0132738,40.71500083,184,14.0,17.0,0.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,20.76513325,-74.01351361,40.71423358,185,2.0,22.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
