ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID,building,sky,tree,road,sidewalk,person,car,skyscraper,streetlight,wall,fence,railing,awning,signboard,ashcan,earth,van,plant,chair,bulletin board,grass,bicycle,ceiling,minibike,windowpane,mountain,column,bridge,water,sculpture,fountain,booth,lamp,pier,glass,sofa
135,35.20887495,-73.98418935,40.78513872,110,0.000832,0.151059,0.458047,0.236383,0.0,0.0,0.050855,0.0,0.000508,0.000531,0.072633,0.0,0.0,0.0,0.0,0.007121,0.0,0.0,0.0,0.0,0.016113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,46.69890306,-73.98687555,40.78144858,111,0.032121,0.337395,0.185156,0.317816,0.001055,0.0,0.041637,0.0,0.000258,0.046699,0.0,0.002156,0.0,0.0,0.0,0.002355,0.0,0.004762,0.0,0.0,0.02859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,35.52821044,-73.99331098,40.77262925,126,0.55118,0.068316,0.0,0.232652,0.137445,0.0,8.6e-05,0.0,0.003094,0.0,0.0,0.0,0.0,0.006617,0.0,0.0,0.000453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,25.11247207,-73.99459469,40.76979224,127,0.193684,0.225348,0.094906,0.313711,0.000773,1.6e-05,0.083855,0.0,0.000512,0.011203,0.0,0.0,0.0,0.000414,0.0,0.0,0.0,0.0,0.0,0.0,0.006113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,41.48213367,-73.99445428,40.76966816,128,0.394703,0.151648,0.011062,0.239422,0.18341,0.002391,0.008285,0.0,0.001586,0.0,0.0,0.0,0.0,0.001312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,36.81743055,-73.9958665,40.76782762,132,0.082691,0.254699,0.159156,0.272539,0.085027,0.0,0.076797,0.0,9.4e-05,0.000652,0.057332,0.000262,0.0,0.009863,0.0,0.0,0.0,0.0,0.0,0.0,3.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,35.99813193,-73.99631834,40.76722013,133,0.183898,0.261598,0.065758,0.364418,0.013227,0.0,0.065688,0.0,0.004895,0.005414,0.007684,0.0,0.000445,0.001105,0.0,0.0,0.0,0.00457,0.0,0.0,0.012809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,35.88967933,-73.99678114,40.76658246,134,0.264691,0.244582,0.022316,0.285703,0.080516,0.0,0.071391,0.0,5.9e-05,0.001188,0.003535,0.0,0.0,0.000551,0.002531,0.0,0.0,0.001,0.0,0.0,0.00127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,36.05344394,-73.99722525,40.76596951,135,0.231207,0.25232,0.039359,0.192199,0.21318,0.0,0.041809,0.0,0.005555,0.0,0.007496,0.0,0.0,0.010656,0.00518,0.0,0.0,4.3e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,36.69115644,-73.99768659,40.76533932,136,0.352461,0.202066,0.010129,0.305703,0.087508,0.004004,0.018664,0.0,0.00027,0.0,0.0,0.0,0.0,0.003387,0.0,0.0,0.000836,0.0,0.0,0.0,0.0,0.0,0.0,0.001176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,36.39365656,-73.99814473,40.76472296,137,0.28882,0.233223,0.022641,0.271785,0.141844,0.0,0.033062,0.0,0.0,0.000242,0.0,0.0,0.0,0.003641,0.0,0.0,0.0,0.003176,0.0,0.0,0.000836,0.0,0.0,0.0,0.0,0.0,0.0,0.000609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,47.57064032,-73.99909583,40.76345206,138,0.294977,0.240375,0.013027,0.237844,0.141402,0.0,0.036668,0.0,0.003254,0.006996,0.0,0.0,0.0,0.01498,0.001754,0.0,0.0,0.007941,0.0,0.0,0.0,0.0,0.0,0.0,0.000156,0.0,0.0,0.000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
